50,95,60,70
65,0,5,75
75,20,35,70
95,55,30,40
55,50,10,15
30,95,55,35
65,10,25,80
10,65,50,65
60,80,75,70
10,55,5,20
25,55,45,0
60,75,0,50
55,45,5,35
10,80,0,30
50,30,50,20
15,80,70,60
90,95,70,10
5,35,20,85
30,35,80,25
55,60,20,0
45,50,60,40
60,95,90,70
40,60,60,40
45,75,10,5
70,65,65,45
40,90,20,60
85,75,30,85
90,10,25,60
25,55,70,40
0,40,35,55
10,45,50,50
25,25,55,35
65,20,0,85
15,90,10,0
85,30,90,70
15,0,10,35
80,55,55,60
20,65,40,45
80,15,50,50
25,45,70,55
85,60,20,60
75,90,45,30
55,70,90,65
40,45,0,30
55,70,55,10
0,35,90,50
80,20,35,30
50,45,60,0
90,80,85,5
55,95,85,25
0,75,10,70
30,30,60,25
95,25,35,35
65,35,30,65
95,0,40,15
75,95,40,15
55,5,90,30
85,95,80,15
85,50,35,55
55,75,5,45
90,85,55,30
30,35,95,25
15,20,50,40
0,35,60,50
5,75,30,70
5,20,45,30
45,60,75,20
45,65,55,20
20,45,55,55
75,60,25,25
