15,95,60,15
65,0,5,15
75,20,35,15
95,55,30,15
55,50,10,15
30,95,55,15
65,10,25,15
10,65,50,15
60,80,75,15
10,55,5,15
25,55,45,15
60,75,0,15
55,45,5,15
10,80,0,15
50,30,50,15
15,80,70,15
90,95,70,15
5,35,20,15
30,35,80,15
55,60,20,15
45,50,60,15
60,95,90,15
40,60,60,15
45,75,10,15
70,65,65,15
40,90,20,15
85,75,30,15
90,10,25,15
25,55,70,15
0,40,35,15
10,45,50,15
25,25,55,15
65,20,0,15
15,90,10,15
85,30,90,15
15,0,10,15
80,55,55,15
20,65,40,15
80,15,50,15
25,45,70,15
85,60,20,15
75,90,45,15
55,70,90,15
40,45,0,15
55,70,55,15
0,35,90,15
80,20,35,15
50,45,60,15
90,80,85,15
55,95,85,15
0,75,10,15
30,30,60,15
95,25,35,15
65,35,30,15
95,0,40,15
75,95,40,15
55,5,90,15
85,95,80,15
85,50,35,15
55,75,5,15
90,85,55,15
30,35,95,15
15,20,50,15
0,35,60,15
5,75,30,15
5,20,45,15
45,60,75,15
45,65,55,15
20,45,55,15
75,60,25,15
